,experiment,hour,date,device_make,platform_os,aware
3166,exposed,20,2020-07-09,Samsung SM-A705FN,6,False
3190,control,14,2020-07-08,Samsung SM-A520F,6,False
3197,exposed,11,2020-07-09,Generic Smartphone,6,False
3237,exposed,12,2020-07-03,Generic Smartphone,6,False
3250,control,14,2020-07-08,Samsung SM-G960F,6,False
3262,control,15,2020-07-03,Generic Smartphone,6,False
3274,exposed,0,2020-07-05,Generic Smartphone,6,False
3280,exposed,10,2020-07-03,Generic Smartphone,6,False
3286,exposed,11,2020-07-03,Generic Smartphone,6,False
3305,control,15,2020-07-03,Generic Smartphone,6,False
3314,exposed,8,2020-07-03,Generic Smartphone,6,False
3330,control,5,2020-07-06,Generic Smartphone,6,False
3331,control,15,2020-07-03,Generic Smartphone,6,False
3332,exposed,4,2020-07-09,Samsung SM-A202F,6,False
3334,control,15,2020-07-03,Generic Smartphone,6,False
3341,exposed,4,2020-07-04,Generic Smartphone,6,False
3372,control,7,2020-07-04,Samsung SM-G970F,6,False
3374,control,4,2020-07-10,Generic Smartphone,6,False
3390,control,15,2020-07-03,MAR-LX1A,6,False
3412,exposed,15,2020-07-10,Generic Smartphone,6,False
3413,exposed,8,2020-07-03,Generic Smartphone,6,False
3445,control,15,2020-07-03,Generic Smartphone,6,False
3448,exposed,10,2020-07-03,Samsung SM-A405FN,6,False
3490,exposed,9,2020-07-03,Samsung SM-N920I,6,False
3532,control,18,2020-07-08,Samsung SM-G977B,6,False
3545,exposed,11,2020-07-05,Generic Smartphone,6,False
3565,exposed,10,2020-07-05,Generic Smartphone,6,False
3571,control,6,2020-07-04,Generic Smartphone,6,False
3588,exposed,8,2020-07-08,Generic Smartphone,6,False
3594,control,15,2020-07-03,Generic Smartphone,6,False
3621,control,5,2020-07-04,Nokia$2$3,6,False
3630,control,2,2020-07-04,Generic Smartphone,6,False
3639,control,15,2020-07-03,Generic Smartphone,6,False
3642,control,16,2020-07-09,Samsung SM-N970F,6,False
3644,control,15,2020-07-03,Generic Smartphone,6,False
3661,exposed,11,2020-07-03,Generic Smartphone,6,False
3665,control,20,2020-07-08,Generic Smartphone,6,False
3684,control,20,2020-07-08,ELE-L09,6,False
3700,control,5,2020-07-07,Generic Smartphone,6,False
3703,control,13,2020-07-08,Samsung SM-G975F,6,False
3712,control,15,2020-07-03,Samsung SM-G930F,6,False
3714,exposed,7,2020-07-06,Generic Smartphone,6,False
3734,exposed,15,2020-07-04,Generic Smartphone,6,False
3752,exposed,15,2020-07-04,Generic Smartphone,6,False
3763,control,15,2020-07-03,Samsung SM-G950F,6,False
3776,exposed,8,2020-07-06,Generic Smartphone,6,False
3777,exposed,7,2020-07-06,Generic Smartphone,6,False
3805,control,20,2020-07-04,Samsung SM-J330FN,6,False
3808,exposed,8,2020-07-04,Generic Smartphone,6,False
3816,control,16,2020-07-10,Generic Smartphone,6,False
3833,control,12,2020-07-04,Nokia$2$3,6,False
3848,exposed,15,2020-07-10,Samsung SM-G950F,6,False
3854,exposed,2,2020-07-10,Generic Smartphone,6,False
3862,control,2,2020-07-09,Generic Smartphone,6,False
3886,exposed,19,2020-07-08,Generic Smartphone,6,False
3888,exposed,19,2020-07-09,Samsung SM-A105FN,6,False
3898,exposed,21,2020-07-08,Samsung SM-G950F,6,False
3917,control,15,2020-07-03,Samsung SM-J600FN,6,False
3946,exposed,21,2020-07-09,Samsung SM-G975F,6,False
3957,control,1,2020-07-06,MAR-LX1A,6,False
3982,control,13,2020-07-07,Generic Smartphone,6,False
3986,exposed,7,2020-07-05,Generic Smartphone,6,False
3991,exposed,13,2020-07-05,Samsung SM-G950F,6,False
3995,control,5,2020-07-05,CLT-L09,6,False
4011,exposed,8,2020-07-06,Samsung SM-G950F,6,False
4012,control,9,2020-07-04,Generic Smartphone,6,False
4015,control,18,2020-07-08,Generic Smartphone,6,False
4028,exposed,13,2020-07-10,Samsung SM-A300FU,6,False
4031,exposed,14,2020-07-07,Samsung SM-G960F,6,False
4039,exposed,18,2020-07-09,Generic Smartphone,6,False
4048,exposed,5,2020-07-06,Samsung SM-A505FN,6,False
4061,control,21,2020-07-05,Generic Smartphone,6,False
4069,control,15,2020-07-03,Generic Smartphone,6,False
4071,exposed,9,2020-07-03,Generic Smartphone,6,False
4081,control,0,2020-07-07,Generic Smartphone,6,False
4102,exposed,11,2020-07-09,POT-LX1,6,False
4104,exposed,22,2020-07-08,Samsung SM-G980F,6,False
4112,control,15,2020-07-03,Samsung SM-A515F,6,False
4124,exposed,13,2020-07-08,Generic Smartphone,6,False
4129,exposed,6,2020-07-04,PRA-LX1,6,False
4133,control,7,2020-07-10,Generic Smartphone,6,False
4142,control,15,2020-07-03,Generic Smartphone,6,False
4154,exposed,14,2020-07-09,Generic Smartphone,6,False
4166,control,15,2020-07-03,Generic Smartphone,6,False
4239,exposed,10,2020-07-09,Generic Smartphone,6,False
4243,exposed,3,2020-07-08,Generic Smartphone,6,False
4245,exposed,5,2020-07-08,iPhone,5,False
4250,exposed,12,2020-07-09,Generic Smartphone,6,False
4285,control,9,2020-07-06,Generic Smartphone,6,False
4294,control,0,2020-07-10,Samsung SM-G950F,6,False
4297,exposed,7,2020-07-10,Generic Smartphone,6,False
4345,exposed,1,2020-07-10,Generic Smartphone,6,False
4355,exposed,14,2020-07-10,Samsung SM-N960F,6,False
4360,exposed,14,2020-07-04,Generic Smartphone,6,False
4362,exposed,14,2020-07-04,Generic Smartphone,6,False
4363,control,15,2020-07-03,Samsung SM-A320FL,6,False
4374,control,15,2020-07-03,Samsung SM-N950F,6,False
4375,exposed,5,2020-07-09,Generic Smartphone,6,False
4393,exposed,1,2020-07-10,Generic Smartphone,6,False
4403,exposed,7,2020-07-05,Generic Smartphone,6,False
4405,control,15,2020-07-08,Samsung SM-A405FN,6,False
4412,exposed,18,2020-07-08,Generic Smartphone,6,False
4455,exposed,10,2020-07-04,Generic Smartphone,6,False
4463,exposed,9,2020-07-04,Samsung SM-A505FN,6,False
4473,exposed,9,2020-07-07,Samsung SM-G900F,6,False
4487,exposed,4,2020-07-07,Generic Smartphone,6,False
4492,control,13,2020-07-09,Samsung SM-G986B,6,False
4501,control,15,2020-07-03,Samsung SM-G973F,6,False
4510,exposed,10,2020-07-03,EVR-N29,6,False
4512,exposed,5,2020-07-06,Generic Smartphone,6,False
4516,exposed,10,2020-07-05,I3312,6,False
4529,control,11,2020-07-04,Generic Smartphone,6,False
4551,control,15,2020-07-03,Generic Smartphone,6,False
4553,exposed,1,2020-07-06,Generic Smartphone,6,False
4558,control,15,2020-07-03,Generic Smartphone,6,False
4565,exposed,4,2020-07-05,Generic Smartphone,6,False
4579,control,15,2020-07-03,Generic Smartphone,6,False
4583,control,15,2020-07-03,Samsung SM-G960F,6,False
4601,control,10,2020-07-07,LYA-L09,6,False
4604,exposed,12,2020-07-08,Samsung SM-G610F,6,False
4623,exposed,1,2020-07-09,Generic Smartphone,6,False
4637,exposed,4,2020-07-06,Generic Smartphone,6,False
4643,exposed,10,2020-07-04,ANE-LX1,6,False
4648,exposed,1,2020-07-10,Samsung SM-A920F,6,False
4655,control,4,2020-07-07,Generic Smartphone,6,False
4661,control,20,2020-07-08,Generic Smartphone,6,False
4685,control,4,2020-07-04,Generic Smartphone,6,False
4706,control,14,2020-07-10,iPhone,5,False
4710,exposed,12,2020-07-10,Generic Smartphone,6,False
4719,exposed,7,2020-07-08,Samsung SM-A405FN,6,False
4735,control,7,2020-07-10,Generic Smartphone,6,False
4749,control,12,2020-07-04,iPhone,5,False
4765,exposed,21,2020-07-07,Generic Smartphone,6,False
4767,exposed,17,2020-07-07,Samsung SM-A515F,6,False
4774,control,15,2020-07-03,Samsung SM-G980F,6,False
4775,exposed,19,2020-07-08,Generic Smartphone,6,False
4794,control,15,2020-07-03,MAR-LX1A,6,False
4800,exposed,6,2020-07-04,Generic Smartphone,6,False
4809,exposed,11,2020-07-04,Generic Smartphone,6,False
4820,exposed,16,2020-07-09,Samsung SM-G965F,6,False
4843,control,2,2020-07-05,Generic Smartphone,6,False
4845,control,15,2020-07-03,Generic Smartphone,6,False
4847,exposed,4,2020-07-05,Generic Smartphone,6,False
4865,exposed,7,2020-07-10,Generic Smartphone,6,False
4867,control,15,2020-07-03,Samsung SM-G960F,6,False
4871,control,1,2020-07-06,iPhone,5,False
4881,exposed,2,2020-07-10,Generic Smartphone,6,False
4897,control,1,2020-07-09,Generic Smartphone,6,False
4901,exposed,5,2020-07-07,Generic Smartphone,6,False
4931,exposed,3,2020-07-09,Generic Smartphone,6,False
4947,exposed,14,2020-07-07,Samsung SM-A320FL,6,False
4955,control,15,2020-07-03,Samsung SM-G960F,6,False
4977,exposed,20,2020-07-08,Generic Smartphone,6,False
4988,exposed,15,2020-07-04,Generic Smartphone,6,False
4991,control,3,2020-07-10,VFD 820,6,False
5006,control,10,2020-07-06,Generic Smartphone,6,False
5048,exposed,22,2020-07-08,Generic Smartphone,6,False
5051,exposed,6,2020-07-07,Samsung SM-A505FN,6,False
5057,exposed,20,2020-07-09,CLT-L09,6,False
5074,control,7,2020-07-06,Generic Smartphone,6,False
5104,control,17,2020-07-04,Generic Smartphone,6,False
5109,control,15,2020-07-03,Samsung SM-G960F,6,False
5127,control,18,2020-07-08,Generic Smartphone,6,False
5139,control,15,2020-07-03,LG-$2,6,False
5159,control,12,2020-07-05,Generic Smartphone,6,False
5164,exposed,1,2020-07-07,Samsung SM-G960F,6,False
5173,exposed,19,2020-07-04,Samsung SM-G935F,6,False
5192,exposed,7,2020-07-05,Pixel 4,6,False
5202,control,11,2020-07-09,Samsung SM-J600FN,6,False
5245,exposed,11,2020-07-07,Generic Smartphone,6,False
5247,exposed,4,2020-07-10,I3312,6,False
5253,control,15,2020-07-03,Generic Smartphone,6,False
5270,control,15,2020-07-03,Samsung SM-A405FN,6,False
5298,control,15,2020-07-03,Samsung SM-G930F,6,False
5320,exposed,18,2020-07-09,Generic Smartphone,6,False
5322,control,11,2020-07-10,Generic Smartphone,6,False
5333,exposed,12,2020-07-03,Generic Smartphone,6,False
5351,exposed,7,2020-07-05,Generic Smartphone,6,False
5354,control,15,2020-07-03,Generic Smartphone,6,False
5355,control,7,2020-07-10,Samsung SM-G950F,6,False
5362,control,21,2020-07-07,Generic Smartphone,6,False
5384,control,15,2020-07-03,iPhone,5,False
5404,exposed,14,2020-07-03,Samsung SM-G935F,6,False
5409,exposed,6,2020-07-09,Generic Smartphone,6,False
5410,control,17,2020-07-08,Generic Smartphone,6,False
5413,exposed,12,2020-07-04,Samsung SM-A300FU,6,False
5441,exposed,12,2020-07-09,Generic Smartphone,6,False
5472,exposed,9,2020-07-07,Generic Smartphone,6,False
5478,exposed,17,2020-07-08,Generic Smartphone,6,False
5488,exposed,13,2020-07-04,Generic Smartphone,6,False
5502,exposed,21,2020-07-08,Generic Smartphone,6,False
5507,exposed,5,2020-07-10,Generic Smartphone,6,False
5518,exposed,17,2020-07-08,Generic Smartphone,6,False
5525,exposed,5,2020-07-08,Pixel 2,6,False
5536,control,13,2020-07-10,Generic Smartphone,6,False
5543,exposed,12,2020-07-04,Generic Smartphone,6,False
5550,exposed,3,2020-07-03,Samsung SM-G960F,6,False
5556,exposed,10,2020-07-06,Samsung SM-G950F,6,False
5557,control,15,2020-07-03,EML-L09,6,False
5562,exposed,6,2020-07-04,Samsung SM-G950F,6,False
5564,control,15,2020-07-03,Samsung SM-G770F,6,False
5574,exposed,17,2020-07-09,Samsung SM-A405FN,6,False
5579,control,4,2020-07-06,Generic Smartphone,6,False
5616,control,22,2020-07-08,Samsung SM-G973F,6,False
5618,exposed,11,2020-07-03,Samsung SM-A505FN,6,False
5626,exposed,12,2020-07-07,Generic Smartphone,6,False
5644,control,15,2020-07-03,Generic Smartphone,6,False
5647,exposed,21,2020-07-09,Generic Smartphone,6,False
5668,control,15,2020-07-03,Samsung SM-G965F,6,False
5691,control,8,2020-07-07,Samsung SM-J330FN,6,False
5692,control,18,2020-07-09,Generic Smartphone,6,False
5696,control,15,2020-07-03,Generic Smartphone,6,False
5705,control,14,2020-07-08,Samsung SM-A202F,6,False
5731,exposed,19,2020-07-08,Generic Smartphone,6,False
5734,control,14,2020-07-07,Generic Smartphone,6,False
5741,control,15,2020-07-03,Generic Smartphone,6,False
5764,control,9,2020-07-04,Samsung SM-G935F,6,False
5786,exposed,2,2020-07-07,Samsung SM-G973F,6,False
5803,control,0,2020-07-10,Samsung SM-G960F,6,False
5813,exposed,10,2020-07-09,Generic Smartphone,6,False
5814,exposed,18,2020-07-08,Samsung SM-J600FN,6,False
5817,exposed,0,2020-07-08,Generic Smartphone,6,False
5828,control,15,2020-07-03,Generic Smartphone,6,False
5831,exposed,12,2020-07-03,Samsung SM-A505FN,6,False
5841,control,15,2020-07-03,Generic Smartphone,6,False
5858,exposed,15,2020-07-08,Pixel 4,6,False
5866,exposed,0,2020-07-10,Generic Smartphone,6,False
5878,control,12,2020-07-09,Generic Smartphone,6,False
5895,exposed,17,2020-07-04,Generic Smartphone,6,False
5908,control,11,2020-07-08,Samsung SM-N950F,6,False
5916,exposed,6,2020-07-04,Samsung $2,6,False
5918,exposed,4,2020-07-05,Generic Smartphone,6,False
5925,exposed,5,2020-07-08,Generic Smartphone,6,False
5929,control,15,2020-07-03,Samsung SM-A405FN,6,False
5968,control,15,2020-07-03,Generic Smartphone,6,False
5978,control,15,2020-07-03,Samsung SM-G988B,6,False
5993,control,6,2020-07-09,Generic Smartphone,6,False
6002,control,1,2020-07-04,Generic Smartphone,6,False
6004,control,15,2020-07-03,Samsung SM-G920F,6,False
6012,exposed,13,2020-07-09,Generic Smartphone,6,False
6023,exposed,22,2020-07-08,Generic Smartphone,6,False
6025,exposed,9,2020-07-09,Generic Smartphone,6,False
6033,exposed,15,2020-07-10,Generic Smartphone,6,False
6036,exposed,16,2020-07-08,Samsung SM-A202F,6,False
6040,control,15,2020-07-03,Generic Smartphone,6,False
6088,control,10,2020-07-04,DLI-L22,6,False
6095,control,12,2020-07-04,Generic Smartphone,6,False
6113,control,15,2020-07-03,Generic Smartphone,6,False
6119,control,19,2020-07-08,Generic Smartphone,6,False
6158,control,15,2020-07-03,Samsung SM-A105FN,6,False
6163,control,17,2020-07-09,Generic Smartphone,6,False
6171,control,15,2020-07-03,Generic Smartphone,6,False
6203,control,15,2020-07-03,iPhone,5,False
6215,control,15,2020-07-03,Generic Smartphone,6,False
6220,control,3,2020-07-10,Generic Smartphone,6,False
6225,control,15,2020-07-03,Generic Smartphone,6,False
6238,exposed,3,2020-07-03,Generic Smartphone,6,False
6257,exposed,9,2020-07-09,Moto $2,6,False
6290,exposed,3,2020-07-10,Generic Smartphone,6,False
6293,control,12,2020-07-05,Samsung SM-G986B,6,False
6298,control,18,2020-07-05,Generic Smartphone,6,False
6310,exposed,22,2020-07-08,Generic Smartphone,6,False
6316,control,8,2020-07-09,Generic Smartphone,6,False
6320,control,10,2020-07-05,Samsung SM-G960F,6,False
6334,control,13,2020-07-04,Samsung SM-A530F,6,False
6335,control,4,2020-07-05,Generic Smartphone,6,False
6339,control,5,2020-07-08,Generic Smartphone,6,False
6410,control,11,2020-07-04,iPhone,5,False
6429,control,13,2020-07-04,Generic Smartphone,6,False
6436,exposed,9,2020-07-03,Generic Smartphone,6,False
6448,exposed,5,2020-07-06,Samsung SM-J330FN,6,False
6474,control,19,2020-07-09,Generic Smartphone,6,False
6490,control,5,2020-07-07,Nokia undefined$2$3,6,False
6493,control,8,2020-07-05,Samsung SM-G935F,6,False
6494,exposed,6,2020-07-10,Generic Smartphone,6,False
6499,exposed,3,2020-07-04,Generic Smartphone,6,False
6541,exposed,9,2020-07-10,Samsung SM-G960F,6,False
6542,control,15,2020-07-03,Samsung SM-G975F,6,False
6552,control,15,2020-07-03,Generic Smartphone,6,False
6568,control,15,2020-07-03,Generic Smartphone,6,False
6575,exposed,11,2020-07-10,Generic Smartphone,6,False
6598,control,15,2020-07-03,Generic Smartphone,6,False
6621,control,3,2020-07-08,Samsung SM-A520F,6,False
6629,control,6,2020-07-10,Samsung SM-G950F,6,False
6640,control,15,2020-07-08,Generic Smartphone,6,False
6651,control,15,2020-07-03,Generic Smartphone,6,False
6656,exposed,10,2020-07-10,Nokia undefined$2$3,6,False
6661,exposed,21,2020-07-09,Generic Smartphone,6,False
6668,control,17,2020-07-05,Generic Smartphone,6,False
6670,exposed,7,2020-07-04,Generic Smartphone,6,False
6675,control,15,2020-07-03,Generic Smartphone,6,False
6762,exposed,15,2020-07-08,PRA-LX1,6,False
6767,exposed,10,2020-07-04,Generic Smartphone,6,False
6777,control,4,2020-07-09,Generic Smartphone,6,False
6779,control,9,2020-07-06,Samsung SM-A705FN,6,False
6782,control,15,2020-07-03,Samsung SM-G960F,6,False
6813,control,15,2020-07-03,Samsung SM-A405FN,6,False
6821,control,15,2020-07-03,Samsung SM-J810F,6,False
6822,control,15,2020-07-03,Generic Smartphone,6,False
6855,control,10,2020-07-07,Generic Smartphone,6,False
6859,exposed,10,2020-07-06,Generic Smartphone,6,False
6865,exposed,16,2020-07-08,Generic Smartphone,6,False
6871,exposed,11,2020-07-09,Generic Smartphone,6,False
6874,exposed,22,2020-07-09,Generic Smartphone,6,False
6894,control,1,2020-07-05,Samsung SM-G950F,6,False
6899,control,9,2020-07-04,Samsung SM-J530F,6,False
6904,control,15,2020-07-03,Samsung SM-A320FL,6,False
6905,exposed,2,2020-07-09,iPhone,5,False
6944,control,20,2020-07-04,Generic Smartphone,6,False
6951,control,15,2020-07-04,Samsung SM-G950F,6,False
6954,exposed,8,2020-07-07,Generic Smartphone,6,False
6967,exposed,11,2020-07-04,Samsung SM-A600FN,6,False
6971,control,15,2020-07-03,XiaoMi MI 6,6,False
6973,control,12,2020-07-04,ANE-LX1,6,False
6988,control,20,2020-07-09,Samsung SM-G973F,6,False
7026,exposed,4,2020-07-10,Samsung SM-A300FU,6,False
7059,exposed,17,2020-07-09,Samsung SM-G925F,6,False
7076,control,7,2020-07-07,Nokia undefined$2$3,6,False
7089,control,20,2020-07-04,X4_Soul_Infinity_Z,6,False
7092,exposed,18,2020-07-09,Generic Smartphone,6,False
7107,control,15,2020-07-03,Samsung SM-A530F,6,False
7116,exposed,7,2020-07-03,Samsung SM-G920F,6,False
7124,control,5,2020-07-10,Generic Smartphone,6,False
7152,control,5,2020-07-05,Generic Smartphone,6,False
7159,exposed,15,2020-07-08,Samsung SM-A202F,6,False
7163,exposed,13,2020-07-08,Samsung SM-A202F,6,False
7165,exposed,19,2020-07-08,Generic Smartphone,6,False
7166,control,19,2020-07-08,Samsung SM-G960F,6,False
7169,control,15,2020-07-03,Generic Smartphone,6,False
7192,control,15,2020-07-03,Samsung SM-A202F,6,False
7209,exposed,8,2020-07-05,Generic Smartphone,6,False
7210,exposed,18,2020-07-08,LYA-L09,6,False
7217,control,14,2020-07-04,Generic Smartphone,6,False
7226,control,15,2020-07-03,Generic Smartphone,6,False
7229,control,15,2020-07-03,Generic Smartphone,6,False
7234,control,15,2020-07-03,Generic Smartphone,6,False
7267,control,3,2020-07-10,Samsung SM-J330F,6,False
7274,control,14,2020-07-09,Samsung SM-G973F,6,False
7286,exposed,15,2020-07-04,Generic Smartphone,6,False
7293,exposed,5,2020-07-06,Generic Smartphone,6,False
7314,exposed,7,2020-07-06,OnePlus ONEPLUS A6013,6,False
7316,exposed,12,2020-07-04,Samsung SM-G960F,6,False
7321,exposed,6,2020-07-09,Generic Smartphone,6,False
7334,control,15,2020-07-03,Generic Smartphone,6,False
7336,exposed,6,2020-07-06,Generic Smartphone,6,False
7342,control,21,2020-07-09,Generic Smartphone,6,False
7343,exposed,11,2020-07-03,Generic Smartphone,6,False
7355,control,5,2020-07-05,Generic Smartphone,6,False
7359,exposed,8,2020-07-08,Samsung SM-A750GN,6,False
7366,control,15,2020-07-03,Generic Smartphone,6,False
7411,control,14,2020-07-10,VFD 720,6,False
7436,exposed,1,2020-07-03,Generic Smartphone,6,False
7437,exposed,9,2020-07-06,Samsung SM-G975F,6,False
7444,control,1,2020-07-06,Samsung SM-J600FN,6,False
7451,exposed,3,2020-07-05,Samsung SM-G950F,6,False
7470,exposed,9,2020-07-05,Generic Smartphone,6,False
7479,exposed,13,2020-07-03,Generic Smartphone,6,False
7483,control,15,2020-07-03,Generic Smartphone,6,False
7510,control,14,2020-07-08,Generic Smartphone,6,False
7549,exposed,12,2020-07-03,Generic Smartphone,6,False
7557,exposed,8,2020-07-04,Generic Smartphone,6,False
7562,control,7,2020-07-07,Samsung SM-A405FN,6,False
7565,exposed,4,2020-07-03,Generic Smartphone,6,False
7584,exposed,22,2020-07-07,Generic Smartphone,6,False
7596,exposed,8,2020-07-09,Pixel 2,6,False
7622,exposed,3,2020-07-09,Samsung SM-J610G,6,False
7637,exposed,5,2020-07-06,VTR-L09,6,False
7646,control,20,2020-07-09,POT-LX1,6,False
7684,exposed,6,2020-07-04,Generic Smartphone,6,False
7689,exposed,7,2020-07-03,Generic Smartphone,6,False
7698,control,15,2020-07-03,Generic Smartphone,6,False
7703,control,15,2020-07-03,Generic Smartphone,6,False
7718,control,15,2020-07-03,Samsung SM-J330FN,6,False
7730,control,15,2020-07-03,Generic Smartphone,6,False
7732,exposed,15,2020-07-08,Generic Smartphone,6,False
7734,control,20,2020-07-08,Generic Smartphone,6,False
7735,control,15,2020-07-03,Samsung SM-A520F,6,False
7742,exposed,3,2020-07-10,Generic Smartphone,6,False
7755,exposed,9,2020-07-03,Generic Smartphone,6,False
7762,control,19,2020-07-05,Samsung SM-G973F,6,False
7768,exposed,14,2020-07-08,Generic Smartphone,6,False
7793,control,7,2020-07-04,Samsung SM-G930F,6,False
7807,exposed,5,2020-07-10,Samsung SM-G960F,6,False
7837,exposed,5,2020-07-03,Generic Smartphone,6,False
7839,control,15,2020-07-03,Generic Smartphone,6,False
7851,control,9,2020-07-08,Samsung SM-N975F,6,False
7852,exposed,0,2020-07-03,Generic Smartphone,6,False
7856,control,17,2020-07-07,iPhone,5,False
7861,control,15,2020-07-03,Generic Smartphone,6,False
7874,exposed,14,2020-07-09,Generic Smartphone,6,False
7877,control,1,2020-07-07,Generic Smartphone,6,False
7886,control,16,2020-07-07,Generic Smartphone,6,False
7889,exposed,19,2020-07-08,Generic Smartphone,6,False
7898,exposed,8,2020-07-10,Generic Smartphone,6,False
7901,exposed,8,2020-07-10,Samsung SM-A300FU,6,False
7902,exposed,3,2020-07-05,Generic Smartphone,6,False
7915,control,2,2020-07-04,Samsung SM-G930F,6,False
7919,exposed,6,2020-07-10,Generic Smartphone,6,False
7937,control,8,2020-07-09,POT-LX1,6,False
7938,exposed,11,2020-07-03,Generic Smartphone,6,False
7975,control,12,2020-07-10,Samsung SM-A520F,6,False
7990,control,3,2020-07-05,Generic Smartphone,6,False
7991,control,15,2020-07-03,Generic Smartphone,6,False
8003,control,4,2020-07-05,CLT-L09,6,False
8010,control,4,2020-07-04,Generic Smartphone,6,False
8016,exposed,17,2020-07-08,Samsung SM-G965F,6,False
8058,exposed,18,2020-07-09,Generic Smartphone,6,False
8064,control,7,2020-07-09,Generic Smartphone,6,False
8069,control,16,2020-07-10,Generic Smartphone,6,False
8071,exposed,4,2020-07-03,Generic Smartphone,6,False
